"Key","Coach","Status","Month","Day","Year","PF","Opponent","PA","Location","State","Special"
"1","Bill Bloss","W","0","0","1893","62","Lewis & Clark (OR)","0","Corvallis"," OR",
"2","Bill Bloss","W","0","0","1893","36","Western Oregon","22","Monmouth"," OR",
"3","Bill Bloss","W","0","0","1893","28","Western Oregon","0","Corvallis"," OR",
"4","Bill Bloss","L","0","0","1893","12","Portland University (OR)","26","?",,
"5","Bill Bloss","W","1","20","1894","6","Multnomah AC JV (OR)","0","?",,
"6","Guy Kennedy","W","11","3","1894","16","Oregon","0","Corvallis"," OR",
"7","Guy Kennedy","L","0","0","1894","0","Portland University (OR)","22","?",,
"8","Guy Kennedy","W","0","0","1894","36","Western Oregon","6","Monmouth"," OR",
"9","Paul Downing","T","0","0","1895","0","Pacific (OR)","0","?",,
"10","Paul Downing","L","0","0","1895","6","Willamette (OR)","36","Salem"," OR",
"11","Paul Downing","L","0","0","1895","0","Oregon","44","Eugene"," OR",
"12","Tommy Code","W","0","0","1896","18","Vancouver Barracks (WA)","0","Corvallis"," OR",
"13","Tommy Code","L","0","0","1896","0","Oregon","2","Eugene"," OR",
"14","Tommy Code","L","0","0","1896","8","Oregon","12","Corvallis"," OR",
"15","Bill Bloss","W","0","0","1897","26","Oregon","8","Eugene"," OR",
"16","Bill Bloss","W","12","4","1897","16","Washington","0","Corvallis"," OR",
"17","No Coach","W","0","0","1898","25","Lewis & Clark (OR)","6","Corvallis"," OR",
"18","No Coach","T","0","0","1898","5","Pacific (OR)","5","Corvallis"," OR",
"19","No Coach","L","0","0","1898","6","Chemawa Indian School (OR)","29","Corvallis"," OR",
"20","No Coach","L","12","10","1898","0","Oregon","38","Corvallis"," OR",
"21","Highland Stickney","W","0","0","1899","47","Lewis & Clark (OR)","0","Corvallis"," OR",
"22","Highland Stickney","W","0","0","1899","10","Willamette (OR)","0","Corvallis"," OR",
"23","Highland Stickney","L","0","0","1899","0","Multnomah AC (OR)","5","Corvallis"," OR",
"24","Highland Stickney","L","11","30","1899","0","Oregon","38","Eugene"," OR",
"25","Highland Stickney","W","0","0","1899","18","Chemawa Indian School (OR)","17","Corvallis"," OR",
"26","No Team","L","0","0","1901","6","Willamette (OR)","17","?",,"EXHIBITION NOT REALLY"
"27","No Team","L","0","0","1901","0","Pacific (OR)","17","?",,"EXHIBITION NOT REALLY"
"28","Frank D. Herbold","W","0","0","1902","67","Willamette (OR)","0","Corvallis"," OR",
"29","Frank D. Herbold","L","10","25","1902","5","Washington","16","Seattle"," WA",
"30","Frank D. Herbold","T","11","8","1902","0","Oregon","0","Corvallis"," OR",
"31","Frank D. Herbold","W","0","0","1902","21","Willamette (OR)","0","Salem"," OR",
"32","Frank D. Herbold","W","0","0","1902","33","Linfield (OR)","0","Corvallis"," OR",
"33","Frank D. Herbold","W","0","0","1902","31","Pacific (OR)","0","Corvallis"," OR",
"34","Coach McFadden","L","10","17","1903","0","Washington","5","Corvallis"," OR",
"35","Coach McFadden","L","0","0","1903","0","Multnomah AC (OR)","16","Portland"," OR",
"36","Coach McFadden","L","0","0","1903","0","Lewis & Clark (OR)","6","Albany"," OR",
